iter	Passed	Remaining
0	45	45721
1	91	45764
2	132	43900
3	174	43493
4	216	42996
5	263	43712
6	299	42550
7	344	42768
8	391	43088
9	431	42694
10	476	42846
11	516	42487
12	563	42767
13	609	42896
14	653	42943
15	699	43048
16	739	42769
17	778	42495
18	819	42319
19	845	41409
20	883	41197
21	926	41197
22	970	41227
23	1011	41141
24	1061	41384
25	1108	41524
26	1154	41602
27	1203	41764
28	1254	42009
29	1301	42076
30	1344	42015
31	1392	42128
32	1437	42132
33	1491	42374
34	1540	42470
35	1589	42574
36	1635	42573
37	1676	42444
38	1721	42413
39	1764	42337
40	1809	42324
41	1855	42329
42	1897	42222
43	1943	42236
44	1985	42127
45	2026	42017
46	2071	41996
47	2114	41938
48	2159	41917
49	2205	41904
50	2247	41823
51	2299	41930
52	2340	41824
53	2383	41760
54	2427	41716
55	2470	41651
56	2517	41649
57	2559	41561
58	2605	41562
59	2643	41410
60	2684	41325
61	2727	41268
62	2773	41249
63	2815	41176
64	2856	41089
65	2905	41121
66	2947	41044
67	2991	40999
68	3027	40847
69	3066	40744
70	3100	40566
71	3135	40417
72	3173	40301
73	3214	40219
74	3251	40095
75	3290	40000
76	3327	39890
77	3361	39738
78	3393	39560
79	3425	39390
80	3458	39238
81	3495	39135
82	3532	39031
83	3569	38923
84	3604	38797
85	3641	38698
86	3673	38551
87	3706	38415
88	3741	38296
89	3778	38203
90	3811	38076
91	3845	37950
92	3882	37864
93	3920	37782
94	3949	37626
95	3978	37463
96	4012	37354
97	4053	37307
98	4090	37224
99	4126	37137
100	4162	37053
101	4201	36986
102	4239	36923
103	4273	36816
104	4308	36728
105	4345	36646
106	4380	36560
107	4413	36449
108	4450	36380
109	4484	36284
110	4519	36197
111	4554	36109
112	4586	36003
113	4626	35960
114	4667	35915
115	4702	35833
116	4739	35769
117	4771	35666
118	4805	35573
119	4838	35480
120	4869	35375
121	4907	35320
122	4942	35238
123	4977	35163
124	5016	35113
125	5052	35047
126	5085	34959
127	5122	34894
128	5161	34846
129	5199	34798
130	5236	34735
131	5271	34666
132	5301	34557
133	5337	34493
134	5371	34418
135	5408	34360
136	5445	34301
137	5478	34220
138	5513	34154
139	5549	34087
140	5583	34014
141	5617	33943
142	5653	33882
143	5688	33816
144	5722	33745
145	5759	33690
146	5793	33615
147	5827	33549
148	5864	33493
149	5898	33424
150	5932	33353
151	5966	33287
152	6002	33229
153	6038	33171
154	6087	33184
155	6132	33176
156	6176	33163
157	6220	33148
158	6265	33138
159	6308	33120
160	6351	33097
161	6394	33077
162	6438	33062
163	6484	33055
164	6525	33021
165	6570	33008
166	6613	32986
167	6657	32970
168	6701	32951
169	6743	32922
170	6783	32886
171	6825	32857
172	6870	32845
173	6912	32814
174	6957	32797
